CUENTA;NOMBRE;NATURALEZA;ESTADO
23650501;RTE RENTA - ART 383 - SALARIOS;CR;ACTIVO
23650502;RTE RENTA - ART 383 - HONORARIOS;CR;ACTIVO
23650503;RTE RENTA - ART 383 - COMISIONES;CR;ACTIVO
23650504;RTE RENTA - ART 383 - SERVICIOS;CR;ACTIVO
23651001;RTE RENTA DIVIDENDOS Y/O PARTICIPACIONES;CR;ACTIVO
23651501;RTE RENTA HONORARIOS - 3,5%;CR;ACTIVO
23651502;RTE RENTA HONORARIOS - 10%;CR;ACTIVO
23651503;RTE RENTA HONORARIOS - 11%;CR;ACTIVO
23652001;RTE RENTA COMISIONES - 10%;CR;ACTIVO
23652002;RTE RENTA COMISIONES - 11%;CR;ACTIVO
23652501;RTE RENTA SERVICIOS - 1%;CR;ACTIVO
23652502;RTE RENTA SERVICIOS - 2%;CR;ACTIVO
23652503;RTE RENTA SERVICIOS - 3,5%;CR;ACTIVO
23652504;RTE RENTA SERVICIOS - 4%;CR;ACTIVO
23652505;RTE RENTA SERVICIOS - 6%;CR;ACTIVO
23653001;RTE RENTA ARRENDAMIENTOS B-INMUEBLES - 3,5%;CR;ACTIVO
23653002;RTE RENTA ARRENDAMIENTOS B MUEBLES - 4%;CR;ACTIVO
23653501;RTE RENTA RENDIMIENTOS FINANCIEROS - 1,5%;CR;ACTIVO
23653502;RTE RENTA RENDIMIENTOS FINANCIEROS - 7%;CR;ACTIVO
23654001;RTE RENTA COMPRAS - 0,1%;CR;ACTIVO
23654002;RTE RENTA COMPRAS -2,5%;CR;ACTIVO
23654003;RTE RENTA COMPRAS - 3,5%;CR;ACTIVO
23656501;RTE TIMBRE CONTRATOS;CR;ACTIVO
23656502;RTE TIMBRE INMUEBLES;CR;ACTIVO
23657001;RTE RENTA RESTAURANTES;CR;ACTIVO
23657002;RTE RENTA HOTELES;CR;ACTIVO
23660101;RTE RENTA CONSOLIDADA;CR;ACTIVO
23670201;RTE IVA TARIFA 15%;CR;ACTIVO
23670202;RTE IVA TARIFA 100%;CR;ACTIVO
23680101;RTE ICA BOGOTA - 4,14 X 1000;CR;ACTIVO
23680102;RTE ICA BOGOTA - 6,9 X 1000;CR;ACTIVO
23680103;RTE ICA BOGOTA - 7,66 X 1000;CR;ACTIVO
23680104;RTE ICA BOGOTA - 8,66 X 1000;CR;ACTIVO
23680105;RTE ICA BOGOTA - 9,66 X 1000;CR;ACTIVO
23680106;RTE ICA BOGOTA - 11,04 X 1000;CR;ACTIVO
23680107;RTE ICA BOGOTA - 13,8 X 1000;CR;ACTIVO
23680108;RTE ICA BOGOTA - 14 X 1000;CR;ACTIVO
23690101;RTE ICA MEDELLIN - 2 X 1000;CR;ACTIVO
23690102;RTE ICA MEDELLIN - 5 X 1000;CR;ACTIVO
23690198;RTE ICA MEDELLIN CONSOLIDADO ;CR;ACTIVO
23690201;RTE ICA CALI - 3,3 X 1000;CR;ACTIVO
23690202;RTE ICA CALI - 5 X 1000;CR;ACTIVO
23690203;RTE ICA CALI - 6,6 X 1000;CR;ACTIVO
23690204;RTE ICA CALI - 7,7 X 1000;CR;ACTIVO
23690205;RTE ICA CALI - 8,8 X 1000;CR;ACTIVO
23690205;RTE ICA CALI - 10 X 1000;CR;ACTIVO
23690298;RTE ICA CALI CONSOLIDADO ;CR;ACTIVO
24040501;DE RENTA Y COMPLEMENTARIOS VIGENCIA FISCAL CORRIENTE;CR;ACTIVO
24041001;DE RENTA Y COMPLEMENTARIOS VIGENCIAS FISCALES ANTERIORES;CR;ACTIVO
24049901;DE RENTA Y COMPLEMENTARIOS CUENTA AJUSTES NIIF;CR;ACTIVO
24080601;IVA GENERADO - TARIFA 19%;CR;ACTIVO
24080602;IVA GENERADO - TARIFA 5%;CR;ACTIVO
24080650;IVA GENERADO - DEVOLUCION COMPRAS;CR;ACTIVO
24080701;IVA DESC. IMPORTACIONES DEL 5%;CR;ACTIVO
24080702;IVA DESC. IMPORTACIONES TARIFA GENERAL;CR;ACTIVO
24080703;IVA DESC. BIENES Y SERVICIOS ZONA FRANCA;CR;ACTIVO
24080704;IVA DESC. BIENES GRAVADOS AL 5%;CR;ACTIVO
24080705;IVA DESC. BIENES GRAVADOS TARIFA GENERAL;CR;ACTIVO
24080706;IVA DESC. LICORES, APERITIVOS, VINOS Y SIMILARES;CR;ACTIVO
