CUENTA;NOMBRE;NATURALEZA;ESTADO
1;ACTIVO;DB;ACTIVO
11;DISPONIBLE;DB;ACTIVO
1105;CAJA;DB;ACTIVO
110505;CAJA GENERAL;DB;ACTIVO
110510;CAJAS MENORES;DB;ACTIVO
110515;MONEDA EXTRANJERA;DB;ACTIVO
110599;CUENTA AJUSTES NIIF;DB;ACTIVO
1110;BANCOS;DB;ACTIVO
111005;MONEDA NACIONAL;DB;ACTIVO
111010;MONEDA EXTRANJERA;DB;ACTIVO
111099;CUENTA AJUSTES NIIF;DB;ACTIVO
1115;REMESAS EN TRANSITO;DB;ACTIVO
111505;MONEDA NACIONAL;DB;ACTIVO
111510;MONEDA EXTRANJERA;DB;ACTIVO
111599;CUENTA AJUSTES NIIF;DB;ACTIVO
1120;CUENTAS DE AHORRO;DB;ACTIVO
112005;BANCOS;DB;ACTIVO
112010;CORPORACIONES DE AHORRO Y VIVIENDA;DB;ACTIVO
112015;ORGANISMOS COOPERATIVOS FINANCIEROS;DB;ACTIVO
112099;CUENTA AJUSTES NIIF;DB;ACTIVO
1125;FONDOS;DB;ACTIVO
112505;ROTATORIOS MONEDA NACIONAL;DB;ACTIVO
112510;ROTATORIOS MONEDA EXTRANJERA;DB;ACTIVO
112515;ESPECIALES MONEDA NACIONAL;DB;ACTIVO
112520;ESPECIALES MONEDA EXTRANJERA;DB;ACTIVO
112525;DE AMORTIZACION MONEDA NACIONAL;DB;ACTIVO
112530;DE AMORTIZACION MONEDA EXTRANJERA;DB;ACTIVO
112599;CUENTA AJUSTES NIIF;DB;ACTIVO
12;INVERSIONES;DB;ACTIVO
1205;ACCIONES;DB;ACTIVO
120505;AGRICULTURA/ GANADERIA/ CAZA Y SILVICULTURA;DB;ACTIVO
120510;PESCA;DB;ACTIVO
120515;EXPLOTACION DE MINAS Y CANTERAS;DB;ACTIVO
120520;INDUSTRIA MANUFACTURERA;DB;ACTIVO
120525;SUMINISTRO DE ELECTRICIDAD/ GAS Y AGUA;DB;ACTIVO
120530;CONSTRUCCION;DB;ACTIVO
120535;COMERCIO AL POR MAYOR Y AL POR MENOR;DB;ACTIVO
120540;HOTELES Y RESTAURANTES;DB;ACTIVO
120545;TRANSPORTE/ ALMACENAMIENTO Y COMUNICACIONES;DB;ACTIVO
120550;ACTIVIDAD FINANCIERA;DB;ACTIVO
120555;ACTIVIDADES INMOBILIARIAS/ EMPRESARIALES Y DE ALQUILER;DB;ACTIVO
120560;ENSE¥ANZA;DB;ACTIVO
120565;SERVICIOS SOCIALES Y DE SALUD;DB;ACTIVO
120570;OTRAS ACTIV.DE SERVICIOS.COMUNITARIOS/ SOCIALES Y PERSONALES;DB;ACTIVO
120599;AJUSTES POR INFLACION;DB;ACTIVO
120599;CUENTA AJUSTES NIIF;DB;ACTIVO
1210;CUOTAS O PARTES DE INTERES SOCIAL;DB;ACTIVO
121005;AGRICULTURA/ GANADERIA/ CAZA Y SILVICULTURA;DB;ACTIVO
121010;PESCA;DB;ACTIVO
121015;EXPLOTACION DE MINAS Y CANTERAS;DB;ACTIVO
121020;INDUSTRIA MANUFACTURERA;DB;ACTIVO
121025;SUMINISTRO DE ELECTRICIDAD/ GAS Y AGUA;DB;ACTIVO
121030;CONSTRUCCION;DB;ACTIVO
121035;COMERCIO AL POR MAYOR Y AL POR MENOR;DB;ACTIVO
121040;HOTELES Y RESTAURANTES;DB;ACTIVO
121045;TRANSPORTE/ ALMACENAMIENTO Y COMUNICACIONES;DB;ACTIVO
121050;ACTIVIDAD FINANCIERA;DB;ACTIVO
121055;ACTIVIDADES INMOBILIARIAS/ EMPRESARIALES Y DE ALQUILER;DB;ACTIVO
121060;ENSE¥ANZA;DB;ACTIVO
121065;SERVICIOS SOCIALES Y DE SALUD;DB;ACTIVO
121070;OTRAS ACTIV.DE SERVICIOS COMUNITARIOS/ SOCIALES Y PERSONALES;DB;ACTIVO
121099;AJUSTES POR INFLACION;DB;ACTIVO
121099;CUENTA AJUSTES NIIF;DB;ACTIVO
1215;BONOS;DB;ACTIVO
121505;BONOS PUBLICOS MONEDA NACIONAL;DB;ACTIVO
121510;BONOS PUBLICOS MONEDA EXTRANJERA;DB;ACTIVO
121515;BONOS ORDINARIOS;DB;ACTIVO
121520;BONOS CONVERTIBLES EN ACCIONES;DB;ACTIVO
121595;OTROS;DB;ACTIVO
121599;CUENTA AJUSTES NIIF;DB;ACTIVO
1220;CEDULAS;DB;ACTIVO
122005;CEDULAS DE CAPITALIZACION;DB;ACTIVO
122010;CEDULAS HIPOTECARIAS;DB;ACTIVO
122015;CEDULAS DE INVERSION;DB;ACTIVO
122095;OTRAS;DB;ACTIVO
122099;CUENTA AJUSTES NIIF;DB;ACTIVO
1225;CERTIFICADOS;DB;ACTIVO
122505;CERTIFICADOS DE DEPOSITO A TERMINO (C.D.T.);DB;ACTIVO
122510;CERTIFICADOS DE DEPOSITO DE AHORRO;DB;ACTIVO
122515;CERTIFICADOS DE AHORRO DE VALOR CONSTANTE (C.A.V.C.);DB;ACTIVO
122520;CERTIFICADOS DE CAMBIO;DB;ACTIVO
122525;CERTIFICADOS CAFETEROS VALORIZABLES;DB;ACTIVO
122530;CERTIFICADOS ELECTRICOS VALORIZABLES (C.E.V.);DB;ACTIVO
122535;CERTIFICADOS DE REEMBOLSO TRIBUTARIO (C.E.R.T.);DB;ACTIVO
122540;CERTIFICADOS DE DESARROLLO TURISTICO;DB;ACTIVO
122545;CERTIFICADOS DE INVERSION FORESTAL (C.I.F.);DB;ACTIVO
122595;OTROS;DB;ACTIVO
122599;CUENTA AJUSTES NIIF;DB;ACTIVO
1230;PAPELES COMERCIALES;DB;ACTIVO
123005;EMPRESAS COMERCIALES;DB;ACTIVO
123010;EMPRESAS INDUSTRIALES;DB;ACTIVO
123015;EMPRESAS DE SERVICIOS;DB;ACTIVO
123099;CUENTA AJUSTES NIIF;DB;ACTIVO
1235;TITULOS;DB;ACTIVO
123505;TITULOS DE DESARROLLO AGROPECUARIO;DB;ACTIVO
123510;TITULOS CANJEABLES POR CERTIFICADOS DE CAMBIO;DB;ACTIVO
123515;TITULOS DE TESORERIA (T.E.S.);DB;ACTIVO
123520;TITULOS DE PARTICIPACION;DB;ACTIVO
123525;TITULOS DE CREDITO DE FOMENTO;DB;ACTIVO
123530;TITULOS FINANCIEROS AGROINDUSTRIALES (T.F.A.);DB;ACTIVO
123535;TITULOS DE AHORRO CAFETERO (T.A.C.);DB;ACTIVO
123540;TITULOS DE AHORRO NACIONAL (T.A.N.);DB;ACTIVO
123545;TITULOS ENERGETICOS DE RENTABILIDAD CRECIENTE (T.E.R.);DB;ACTIVO
123550;TITULOS DE AHORRO EDUCATIVO (T.A.E.);DB;ACTIVO
123555;TITULOS FINANCIEROS INDUSTRIALES Y COMERCIALES;DB;ACTIVO
123560;TESOROS;DB;ACTIVO
123565;TITULOS DE DEVOLUCION DE IMPUESTOS NACIONALES (TIDIS);DB;ACTIVO
123570;TITULOS INMOBILIARIOS;DB;ACTIVO
123595;OTROS;DB;ACTIVO
123599;CUENTA AJUSTES NIIF;DB;ACTIVO
1240;ACEPTACIONES BANCARIAS O FINANCIERAS;DB;ACTIVO
124005;BANCOS COMERCIALES;DB;ACTIVO
124010;COMPA¥IAS DE FINANCIAMIENTO COMERCIAL;DB;ACTIVO
124015;CORPORACIONES FINANCIERAS;DB;ACTIVO
124095;OTRAS;DB;ACTIVO
124099;CUENTA AJUSTES NIIF;DB;ACTIVO
1245;DERECHOS FIDUCIARIOS;DB;ACTIVO
124505;FIDEICOMISOS DE INVERSION MONEDA NACIONAL;DB;ACTIVO
124510;FIDEICOMISOS DE INVERSION MONEDA EXTRANJERA;DB;ACTIVO
124599;CUENTA AJUSTES NIIF;DB;ACTIVO
1250;DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS (REPOS);DB;ACTIVO
125005;ACCIONES;DB;ACTIVO
125010;CUOTAS O PARTES DE INTERES SOCIAL;DB;ACTIVO
125015;BONOS;DB;ACTIVO
125020;CEDULAS;DB;ACTIVO
125025;CERTIFICADOS;DB;ACTIVO
125030;PAPELES COMERCIALES;DB;ACTIVO
125035;TITULOS;DB;ACTIVO
125040;ACEPTACIONES BANCARIAS O FINANCIERAS 125095 OTROS;DB;ACTIVO
125099;AJUSTES POR INFLACION;DB;ACTIVO
125099;CUENTA AJUSTES NIIF;DB;ACTIVO
1255;OBLIGATORIAS;DB;ACTIVO
125505;BONOS DE FINANCIAMIENTO ESPECIAL;DB;ACTIVO
125510;BONOS DE FINANCIAMIENTO PRESUPUESTAL;DB;ACTIVO
125515;BONOS PARA DESARROLLO SOCIAL Y SEGURIDAD INTERNA (B.D.S.I.);DB;ACTIVO
125595;OTRAS;DB;ACTIVO
125599;CUENTA AJUSTES NIIF;DB;ACTIVO
1260;CUENTAS EN PARTICIPACION;DB;ACTIVO
126099;AJUSTES POR INFLACION;DB;ACTIVO
126099;CUENTA AJUSTES NIIF;DB;ACTIVO
1295;OTRAS INVERSIONES;DB;ACTIVO
129505;APORTES EN COOPERATIVAS;DB;ACTIVO
129510;DERECHOS EN CLUBES SOCIALES;DB;ACTIVO
129515;ACCIONES O DERECHOS EN CLUBES DEPORTIVOS;DB;ACTIVO
129520;BONOS EN COLEGIOS;DB;ACTIVO
129595;DIVERSAS;DB;ACTIVO
129599;AJUSTES POR INFLACION;DB;ACTIVO
129599;CUENTA AJUSTES NIIF;DB;ACTIVO
1299;PROVISIONES;DB;ACTIVO
129905;ACCIONES;DB;ACTIVO
129910;CUOTAS O PARTES DE INTERES SOCIAL;DB;ACTIVO
129915;BONOS;DB;ACTIVO
129920;CEDULAS;DB;ACTIVO
129925;CERTIFICADOS;DB;ACTIVO
