thirdParty_id,company_id,regime,IVA_responsability,retention_type,economic_activity,attachedRut,municipality_id,nature,identidicationType_id,dv
165,1,-,18,-,-,"","",1,6,1
168,1,-,18,-,-,"","",1,6,5
146,2,-,21,-,-,"",169,2,3,
143,2,-,"",-,-,-,169,2,3,
136,2,-,-,-,-,"",169,1,6,1
159,2,-,18,-,-,"",169,1,6,4
47,1,2,21,,,,164,2,3,
72,1,-,18,-,-,"",164,1,6,5
166,1,-,18,-,-,"","",2,6,7
132,1,-,18,-,-,"",164,1,6,1
169,1,-,18,-,-,"","",1,6,5
156,1,-,18,-,7310,"",164,1,6,1
5,1,01,18,03,04,"",164,1,6,3
6,1,2,21,,,,164,1,6,1
153,1,-,18,-,-,"",164,1,6,9
150,1,-,18,-,-,"",164,1,6,5
64,1,-,18,-,-,"",164,2,3,3
7,1,2,21,,,,164,1,6,5
8,1,2,21,,,,164,1,6,7
9,1,2,21,,,,164,1,6,3
10,1,2,21,,,,164,1,6,2
11,1,2,21,,,,164,1,6,9
12,1,2,21,,,,164,1,6,9
13,1,2,21,,,,164,1,6,1
14,1,2,21,,,,164,1,6,1
15,1,2,21,,,,164,1,6,0
16,1,2,21,,,,164,1,6,5
18,1,2,21,,,,164,1,6,1
19,1,2,21,,,,164,1,6,7
69,1,-,18,-,-,"",164,2,3,
70,1,-,18,-,-,"",164,2,3,
71,1,-,18,-,-,"",164,1,6,8
73,1,-,18,-,-,"",164,1,6,1
74,1,-,18,-,-,"",164,1,6,4
75,1,-,18,-,-,"",164,2,3,
76,1,-,18,-,-,"",164,1,6,8
77,1,-,18,-,-,"",164,1,6,1
53,1,-,18,-,-,"",164,2,3,
147,1,-,18,-,1410,"",164,2,3,
131,1,-,18,-,5811,"",164,1,6,8
155,1,-,18,-,1410,"",164,1,6,1
103,1,-,18,-,-,"",164,1,6,0
107,1,-,18,-,-,"",164,1,6,9
111,1,-,18,-,-,"",164,1,6,6
116,1,-,18,-,-,"",164,1,6,1
120,1,-,18,-,-,"",164,1,6,3
124,1,-,18,-,-,"",164,1,6,8
148,1,-,18,-,7370,"",164,1,6,2
137,1,-,18,-,-,"",164,2,3,8
101,1,-,18,-,-,"",164,1,6,7
108,1,-,18,-,-,"",164,1,6,1
157,1,-,18,-,4761,"",164,1,6,4
22,1,2,21,,,,164,2,3,
20,1,2,21,,,,164,1,6,3
21,1,2,21,,,,164,1,6,7
23,1,2,21,,,,164,1,6,4
24,1,2,21,,,,164,1,6,1
25,1,2,21,,,,164,1,6,5
26,1,2,21,,,,164,1,6,5
27,1,2,21,,,,164,1,6,1
28,1,2,21,,,,164,1,6,9
29,1,2,21,,,,164,1,6,4
30,1,2,21,,,,164,1,6,1
31,1,2,21,,,,164,1,6,1
32,1,2,21,,,,164,1,6,2
33,1,2,21,,,,164,1,6,1
34,1,2,21,,,,164,1,6,1
35,1,2,21,,,,164,1,6,7
36,1,2,21,,,,164,1,6,2
37,1,2,21,,,,164,1,6,0
38,1,2,21,,,,164,1,6,5
44,1,2,21,,,,164,1,6,1
45,1,2,21,,,,164,1,6,0
46,1,2,21,,,,164,1,6,1
50,1,-,18,-,-,"",164,1,6,1
